row,gene_name,Disease involvement,Ensembl,Evidence,Gene,Gene synonym,Subcellular additional location,Subcellular main location
Q12873,CHD3,"[u'Disease variant', u'Mental retardation']",ENSG00000170004,Evidence at protein level,CHD3,"[u'Mi-2a', u'Mi2-ALPHA', u'ZFH']",[u'Centriolar satellite'],"[u'Nucleoplasm', u'Nucleoli']"
Q9NVH2,INTS7,None,ENSG00000143493,Evidence at protein level,INTS7,"[u'C1orf73', u'DKFZP434B168', u'INT7']",None,[u'Nuclear bodies']
A6NMQ1,POLA1,"[u'Disease variant', u'Dwarfism', u'FDA approved drug targets', u'Mental retardation']",ENSG00000101868,Evidence at protein level,POLA1,"[u'NSX', u'p180', u'POLA']",[u'Cytosol'],[u'Nucleoplasm']
Q96Q15,SMG1,None,ENSG00000157106,Evidence at protein level,SMG1,"[u'ATX', u'KIAA0421', u'LIP']",None,[u'Nucleoplasm']
Q8N3U4,STAG2,"[u'Cancer-related genes', u'Disease variant', u'Holoprosencephaly']",ENSG00000101972,Evidence at protein level,STAG2,"[u'SA-2', u'SA2', u'SCC3B']",None,"[u'Nucleoplasm', u'Nucleoli', u'Nucleoli fibrillar center']"
K7EP73,GAPDHS,None,ENSG00000105679,Evidence at protein level,GAPDHS,"[u'GAPD2', u'GAPDH-2', u'GAPDS']",[u'Centrosome'],[u'Nucleoplasm']
Q99704,DOK1,None,ENSG00000115325,Evidence at protein level,DOK1,[u'p62dok'],None,[u'Cytosol']
Q8TD19,NEK9,[u'Disease variant'],ENSG00000119638,Evidence at protein level,NEK9,"[u'DKFZp434D0935', u'MGC16714', u'Nek8', u'NERCC', u'NERCC1']",None,None
H0YE29,ARHGAP1,None,ENSG00000175220,Evidence at protein level,ARHGAP1,"[u'CDC42GAP', u'p50rhoGAP', u'RhoGAP']",None,[u'Vesicles']
P48047,ATP5O,None,ENSG00000241837,Evidence at protein level,ATP5PO,"[u'ATP5O', u'ATPO', u'OSCP']",None,[u'Mitochondria']
P10809,HSPD1,"[u'Cancer-related genes', u'Disease variant', u'Hereditary spastic paraplegia', u'Leukodystrophy', u'Neurodegeneration']",ENSG00000144381,Evidence at protein level,HSPD1,"[u'GroEL', u'HSP60', u'SPG13']",None,[u'Mitochondria']
P51553,IDH3G,None,ENSG00000067829,Evidence at protein level,IDH3G,[],None,"[u'Nucleoli', u'Mitochondria']"
H0Y7Q2,VPS50,None,ENSG00000004766,Evidence at protein level,VPS50,"[u'CCDC132', u'DKFZp313I2429', u'FLJ20097', u'KIAA1861', u'VPS54L']",[u'Plasma membrane'],[u'Cytosol']
O14965,AURKA,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000087586,Evidence at protein level,AURKA,"[u'AIK', u'ARK1', u'AurA', u'BTAK', u'PPP1R47', u'STK15', u'STK6', u'STK7']","[u'Mitotic spindle', u'Cytosol']","[u'Nucleoplasm', u'Centrosome']"
Q07021,C1QBP,"[u'Cancer-related genes', u'Disease variant', u'Primary mitochondrial disease']",ENSG00000108561,Evidence at protein level,C1QBP,"[u'gC1Q-R', u'gC1qR', u'HABP1', u'p32', u'SF2p32']",[u'Mitochondria'],[u'Plasma membrane']
Q96QP1,ALPK1,None,ENSG00000073331,Evidence at protein level,ALPK1,"[u'FLJ22670', u'KIAA1527', u'Lak']",None,[u'Centrosome']
F8WDV0,IPO11,None,ENSG00000086200,Evidence at protein level,IPO11,[u'RanBP11'],[u'Cytosol'],[u'Nucleoplasm']
Q9Y289,SLC5A6,"[u'Disease variant', u'Neurodegeneration']",ENSG00000138074,Evidence at protein level,SLC5A6,[u'SMVT'],None,[u'Plasma membrane']
Q8IX12,CCAR1,[u'Cancer-related genes'],ENSG00000060339,Evidence at protein level,CCAR1,"[u'CARP-1', u'CARP1', u'FLJ10590']",[u'Golgi apparatus'],[u'Nucleoplasm']
Q4J6C6,PREPL,"[u'Congenital myasthenic syndrome', u'Disease variant']",ENSG00000138078,Evidence at protein level,PREPL,[u'KIAA0436'],None,None
O95396,MOCS3,None,ENSG00000124217,Evidence at protein level,MOCS3,"[u'dJ914P20.3', u'UBA4']",None,None
F5H2S8,PTPN22,"[u'Diabetes mellitus', u'Disease variant', u'Systemic lupus erythematosus']",ENSG00000134242,Evidence at protein level,PTPN22,"[u'Lyp', u'Lyp1', u'Lyp2', u'PTPN8']","[u'Vesicles', u'Plasma membrane']",[u'Nucleoplasm']
Q96B01,RAD51AP1,None,ENSG00000111247,Evidence at protein level,RAD51AP1,[u'PIR51'],None,[u'Nucleoplasm']
Q86XI2,NCAPG2,[u'Disease variant'],ENSG00000146918,Evidence at protein level,NCAPG2,"[u'CAP-G2', u'FLJ20311', u'hCAP-G2', u'LUZP5', u'MTB']",[u'Nuclear speckles'],[u'Nucleoplasm']
P04035,HMGCR,[u'FDA approved drug targets'],ENSG00000113161,Evidence at protein level,HMGCR,[],None,None
P15848,ARSB,"[u'Disease variant', u'Ichthyosis', u'Leukodystrophy', u'Metachromatic leukodystrophy', u'Mucopolysaccharidosis']",ENSG00000113273,Evidence at protein level,ARSB,[],None,[u'Golgi apparatus']
Q9NRF9,POLE3,[u'FDA approved drug targets'],ENSG00000148229,Evidence at protein level,POLE3,"[u'CHARAC17', u'CHRAC17', u'CHRAC2', u'p17', u'Ybl1']",None,"[u'Nucleoplasm', u'Nucleoli']"
P59923,ZNF445,None,ENSG00000185219,Evidence at protein level,ZNF445,"[u'ZKSCAN15', u'ZNF168', u'ZSCAN47']","[u'Mitochondria', u'Cytosol']",[u'Nucleoplasm']
F5H5D3,TUBA1C,None,ENSG00000167553,Evidence at protein level,TUBA1C,"[u'bcm948', u'MGC10851', u'MGC14580', u'TUBA6']",None,[u'Microtubules']
O60518,RANBP6,None,ENSG00000137040,Evidence at protein level,RANBP6,[],None,[u'Vesicles']
Q15011,HERPUD1,[u'Cancer-related genes'],ENSG00000051108,Evidence at protein level,HERPUD1,"[u'HERP', u'KIAA0025', u'Mif1', u'SUP']",None,"[u'Plasma membrane', u'Cytosol']"
Q13416,ORC2,None,ENSG00000115942,Evidence at protein level,ORC2,[u'ORC2L'],[u'Cytosol'],[u'Nucleoplasm']
G5E975,SMARCB1,"[u'Cancer-related genes', u'Disease variant', u'Hypotrichosis', u'Mental retardation', u'Tumor suppressor']",ENSG00000099956,Evidence at protein level,SMARCB1,"[u'BAF47', u'hSNFS', u'Ini1', u'PPP1R144', u'RDT', u'Sfh1p', u'SNF5', u'SNF5L1', u'Snr1']",[u'Nucleoli fibrillar center'],[u'Nucleoplasm']
Q8TEK8,RASSF5,[u'Tumor suppressor'],ENSG00000266094,Evidence at protein level,RASSF5,"[u'Maxp1', u'NORE1', u'RAPL']",None,None
P48059,LIMS1,None,ENSG00000169756,Evidence at protein level,LIMS1,"[u'PINCH', u'PINCH1']",[u'Focal adhesion sites'],[u'Cytosol']
F8VR77,PA2G4,None,ENSG00000170515,Evidence at protein level,PA2G4,[],None,[u'Cytosol']
Q9H5V9,CXorf56,[u'Mental retardation'],ENSG00000018610,Evidence at protein level,CXorf56,[u'FLJ22965'],[u'Centrosome'],[u'Nucleoplasm']
O14617,AP3D1,"[u'Albinism', u'Hermansky-Pudlak syndrome']",ENSG00000065000,Evidence at protein level,AP3D1,[u'ADTD'],None,[u'Cytosol']
Q96BD5,PHF21A,"[u'Disease variant', u'Epilepsy', u'Mental retardation']",ENSG00000135365,Evidence at protein level,PHF21A,"[u'BHC80', u'BM-006', u'KIAA1696']",None,[u'Nucleoplasm']
X6RFL8,RAB14,None,ENSG00000119396,Evidence at protein level,RAB14,"[u'FBP', u'RAB-14']",None,[u'Vesicles']
Q8WXD5,GEMIN6,None,ENSG00000152147,Evidence at protein level,GEMIN6,[u'FLJ23459'],None,"[u'Nucleoplasm', u'Nuclear bodies']"
C9JLC1,DARS,[u'Disease variant'],ENSG00000115866,Evidence at protein level,DARS1,[u'DARS'],None,[u'Cytosol']
M0R050,EXOSC5,None,ENSG00000077348,Evidence at protein level,EXOSC5,"[u'hRrp46p', u'MGC12901', u'p12B', u'RRP41B', u'RRP46', u'Rrp46p']",[u'Nucleoplasm'],[u'Nucleoli']
I3L0U8,DCTN5,None,ENSG00000166847,Evidence at protein level,DCTN5,"[u'MGC3248', u'p25']",None,"[u'Nucleoplasm', u'Nuclear membrane']"
Q5JWF2,GNAS,"[u'Cancer-related genes', u'Cushing syndrome', u'Disease variant', u'Dwarfism', u'Obesity', u'Proto-oncogene']",ENSG00000087460,Evidence at protein level,GNAS,"[u'GNAS1', u'GNASXL', u'GPSA', u'NESP', u'NESP55', u'SCG6', u'SgVI']","[u'Plasma membrane', u'Cytosol']",[u'Nucleoplasm']
A0A075B772,ZNF582,None,ENSG00000018869,Evidence at transcript level,ZNF582,[u'FLJ30927'],[u'Nucleoplasm'],[u'Cytosol']
E9PKB5,PPM1A,None,ENSG00000100614,Evidence at protein level,PPM1A,"[u'MGC9201', u'PP2CA', u'PP2Calpha']",[u'Plasma membrane'],[u'Cytosol']
P08133,ANXA6,None,ENSG00000197043,Evidence at protein level,ANXA6,[u'ANX6'],None,[u'Cytosol']
J3KR97,TBCD,"[u'Disease variant', u'Neurodegeneration']",ENSG00000141556,Evidence at protein level,TBCD,[],None,None
Q6P3W7,SCYL2,[u'Disease variant'],ENSG00000136021,Evidence at protein level,SCYL2,"[u'CVAK104', u'KIAA1360']",None,None
O94864,SUPT7L,None,ENSG00000119760,Evidence at protein level,SUPT7L,"[u'KIAA0764', u'SPT7L', u'STAF65', u'STAF65gamma']",None,[u'Nucleoplasm']
E9PQK8,ADNP,"[u'Autism spectrum disorder', u'Cancer-related genes', u'Mental retardation']",ENSG00000101126,Evidence at protein level,ADNP,"[u'ADNP1', u'KIAA0784']",None,[u'Nucleoplasm']
O75151,PHF2,None,ENSG00000197724,Evidence at protein level,PHF2,"[u'CENP-35', u'JHDM1E', u'KDM7C', u'KIAA0662']",[u'Nucleoplasm'],[u'Nucleoli rim']
P51825,AFF1,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000172493,Evidence at protein level,AFF1,"[u'AF-4', u'AF4', u'MLLT2', u'PBM1']",None,"[u'Nucleoplasm', u'Mitochondria']"
Q7LG56,RRM2B,"[u'Disease variant', u'FDA approved drug targets', u'Neuropathy', u'Primary mitochondrial disease', u'Progressive external ophthalmoplegia']",ENSG00000048392,Evidence at protein level,RRM2B,[u'p53R2'],None,"[u'Nucleoplasm', u'Cytosol']"
Q9H061,TMEM126A,None,ENSG00000171202,Evidence at protein level,TMEM126A,"[u'DKFZp586C1924', u'OPA7']",[u'Nucleoplasm'],[u'Cytosol']
Q9Y6G1,TMEM14A,None,ENSG00000096092,Evidence at protein level,TMEM14A,"[u'C6orf73', u'PTD011']",None,"[u'Nucleoplasm', u'Endoplasmic reticulum']"
P13164,IFITM1,None,ENSG00000185885,Evidence at protein level,IFITM1,"[u'9-27', u'CD225', u'DSPA2a', u'IFI17']","[u'Plasma membrane', u'Cytosol']",[u'Golgi apparatus']
H0YKM4,LRRC28,None,ENSG00000168904,Evidence at protein level,LRRC28,"[u'FLJ34269', u'FLJ45242', u'MGC24976']","[u'Golgi apparatus', u'Mitochondria']",[u'Nucleoplasm']
A0A140T998,PSMB8,"[u'Disease variant', u'FDA approved drug targets']",ENSG00000204264,Evidence at protein level,PSMB8,"[u'beta5i', u'D6S216E', u'LMP7', u'PSMB5i', u'RING10']",[u'Cytokinetic bridge'],[u'Vesicles']
B7ZC39,SH3GLB2,None,ENSG00000148341,Evidence at protein level,SH3GLB2,[u'KIAA1848'],[u'Nucleoplasm'],[u'Cytosol']
E7EPJ2,ITSN2,None,ENSG00000198399,Evidence at protein level,ITSN2,"[u'KIAA1256', u'PRO2015', u'SH3D1B', u'SH3P18', u'SWA', u'SWAP']",None,"[u'Vesicles', u'Plasma membrane']"
Q9Y613,FHOD1,None,ENSG00000135723,Evidence at protein level,FHOD1,[u'FHOS'],None,[u'Cytosol']
P11172,UMPS,[u'Disease variant'],ENSG00000114491,Evidence at protein level,UMPS,[],None,[u'Cytosol']
A0A0A0MTR2,OGFOD1,None,ENSG00000087263,Evidence at protein level,OGFOD1,"[u'FLJ10826', u'KIAA1612', u'TPA1']",[u'Cytosol'],[u'Nucleoplasm']
O75882,ATRN,None,ENSG00000088812,Evidence at protein level,ATRN,"[u'DPPT-L', u'MGCA']",None,[u'Cytosol']
P81605,DCD,None,ENSG00000161634,Evidence at protein level,DCD,"[u'AIDD', u'DCD-1', u'DSEP', u'HCAP', u'PIF']",None,None
Q3LXA3,DAK; TKFC,[u'Cataract'],ENSG00000149476,Evidence at protein level,TKFC,"[u'DAK', u'DKFZP586B1621', u'NET45']",[u'Nucleoplasm'],[u'Cytosol']
A0A0A0MTI0,PBX1,"[u'Cancer-related genes', u'Disease variant', u'Proto-oncogene']",ENSG00000185630,Evidence at protein level,PBX1,[],"[u'Nuclear bodies', u'Cytosol']",[u'Nucleoplasm']
O14494,PPAP2A; PLPP1,None,ENSG00000067113,Evidence at protein level,PLPP1,"[u'LPP1', u'PAP-2a', u'PPAP2A']",None,[u'Plasma membrane']
H0YLH9,IL16,[u'Cancer-related genes'],ENSG00000172349,Evidence at protein level,IL16,"[u'FLJ16806', u'FLJ42735', u'HsT19289', u'IL-16', u'LCF', u'prIL-16']","[u'Plasma membrane', u'Cytosol']",[u'Nuclear speckles']
P36954,POLR2I,None,ENSG00000105258,Evidence at protein level,POLR2I,"[u'hRPB14.5', u'RPB9']",None,[u'Nucleoplasm']
Q8NBM4,UBAC2,None,ENSG00000134882,Evidence at protein level,UBAC2,"[u'FLJ30548', u'PHGDHL1', u'RP11-178C10.1']",None,[u'Cytosol']
H0Y9B7,LEMD2,"[u'Cataract', u'Disease variant']",ENSG00000161904,Evidence at protein level,LEMD2,"[u'dJ482C21.1', u'LEM2', u'NET25']",None,[u'Nuclear membrane']
Q969F1,GTF3C6,None,ENSG00000155115,Evidence at protein level,GTF3C6,"[u'bA397G5.3', u'C6orf51', u'TFIIIC35']",[u'Nuclear bodies'],[u'Nucleoplasm']
P55199,ELL,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000105656,Evidence at protein level,ELL,"[u'C19orf17', u'ELL1', u'Men', u'PPP1R68']","[u'Nuclear bodies', u'Cytosol']",[u'Nucleoplasm']
P82914,MRPS15,None,ENSG00000116898,Evidence at protein level,MRPS15,[u'FLJ11564'],None,[u'Mitochondria']
F8W8A5,DONSON,"[u'Disease variant', u'Dwarfism']",ENSG00000159147,Evidence at protein level,DONSON,"[u'B17', u'C21orf60', u'C2TA', u'DKFZP434M035']",[u'Cytosol'],"[u'Nucleoplasm', u'Cell Junctions']"
Q6JBY9,RCSD1,None,ENSG00000198771,Evidence at protein level,RCSD1,"[u'CapZIP', u'MGC21854', u'MK2S4']",None,[u'Plasma membrane']
H0YKL6,FAM81A,None,ENSG00000157470,Evidence at protein level,FAM81A,[u'MGC26690'],[u'Cytosol'],[u'Nucleoplasm']
Q92506,HSD17B8,None,ENSG00000204228,Evidence at protein level,HSD17B8,"[u'D6S2245E', u'FABGL', u'H2-KE6', u'HKE6', u'KE6', u'RING2', u'SDR30C1']",None,None
M0QX88,VRK3,None,ENSG00000105053,Evidence at protein level,VRK3,[],None,"[u'Nucleoplasm', u'Vesicles']"
Q8TAD8,SNIP1,"[u'Disease variant', u'Epilepsy']",ENSG00000163877,Evidence at protein level,SNIP1,[u'PML1'],[u'Cytosol'],[u'Nucleoplasm']
F8WF50,RABL3,[u'Disease variant'],ENSG00000144840,Evidence at protein level,RABL3,[u'MGC23920'],None,[u'Endoplasmic reticulum']
B0I1T2,MYO1G,None,ENSG00000136286,Evidence at protein level,MYO1G,[u'HA-2'],[u'Nucleoplasm'],[u'Plasma membrane']
P13473,LAMP2,"[u'Disease variant', u'Glycogen storage disease']",ENSG00000005893,Evidence at protein level,LAMP2,[u'CD107b'],None,[u'Vesicles']
Q3B7T1,C10orf137; EDRF1,None,ENSG00000107938,Evidence at protein level,EDRF1,"[u'C10orf137', u'DKFZp586F1019', u'FLJ21617']","[u'Centrosome', u'Cytosol']",[u'Nucleoplasm']
G3V4K3,VIPAS39,None,ENSG00000151445,Evidence at protein level,VIPAS39,"[u'C14orf133', u'hSPE-39', u'SPE-39', u'SPE39', u'VIPAR', u'VPS16B']",None,None
Q9NP77,SSU72,None,ENSG00000160075,Evidence at protein level,SSU72,[u'HSPC182'],None,"[u'Nucleoplasm', u'Cytosol']"
Q86UL3,AGPAT6; GPAT4,None,ENSG00000158669,Evidence at protein level,GPAT4,"[u'AGPAT6', u'DKFZp586M1819', u'LPAAT-zeta', u'TSARG7']",None,None
Q7Z7G8,VPS13B,"[u'Disease variant', u'Obesity']",ENSG00000132549,Evidence at protein level,VPS13B,"[u'CHS1', u'COH1']",None,[u'Cell Junctions']
Q01432,AMPD3,[u'Disease variant'],ENSG00000133805,Evidence at protein level,AMPD3,[],None,[u'Nuclear membrane']
P23368,ME2,None,ENSG00000082212,Evidence at protein level,ME2,[],None,[u'Mitochondria']
Q8IWJ2,GCC2,None,ENSG00000135968,Evidence at protein level,GCC2,"[u'GCC185', u'KIAA0336']",[u'Nucleoplasm'],[u'Golgi apparatus']
O96006,ZBED1,None,ENSG00000214717,Evidence at protein level,ZBED1,"[u'ALTE', u'DREF', u'hDREF', u'KIAA0785', u'TRAMP']",[u'Nuclear membrane'],"[u'Nucleoplasm', u'Centrosome']"
H0Y4E8,SIK3,"[u'Disease variant', u'Dwarfism']",ENSG00000160584,Evidence at protein level,SIK3,"[u'FLJ12240', u'KIAA0999', u'L19', u'QSK']",None,[u'Nucleoplasm']
Q9H6A0,DENND2D,None,ENSG00000162777,Evidence at protein level,DENND2D,"[u'FLJ22457', u'RP5-1180E21.2']",None,"[u'Nucleoplasm', u'Cytosol']"
Q96RE7,NACC1,"[u'Disease variant', u'Epilepsy', u'Mental retardation']",ENSG00000160877,Evidence at protein level,NACC1,"[u'BEND8', u'BTBD14B', u'BTBD30', u'NAC-1', u'NAC1']",[u'Vesicles'],[u'Nucleoplasm']
Q71RC2,LARP4,None,ENSG00000161813,Evidence at protein level,LARP4,[u'PP13296'],[u'Nucleoli fibrillar center'],[u'Cytosol']
Q9P0S9,TMEM14C,None,ENSG00000111843,Evidence at protein level,TMEM14C,"[u'bA421M1.6', u'C6orf53', u'HSPC194', u'NET26']",None,None
F8WDK3,PPP4R2,None,ENSG00000163605,Evidence at protein level,PPP4R2,[],None,[u'Nucleoplasm']
P06734,FCER2,[u'Cancer-related genes'],ENSG00000104921,Evidence at protein level,FCER2,"[u'CD23', u'CD23A', u'CLEC4J', u'FCE2']",None,None
Q86U38,NOP9,None,ENSG00000196943,Evidence at protein level,NOP9,[u'C14orf21'],"[u'Nucleoli', u'Cytosol']",[u'Nucleoplasm']
P40306,PSMB10,[u'FDA approved drug targets'],ENSG00000205220,Evidence at protein level,PSMB10,"[u'beta2i', u'LMP10', u'MECL1', u'MGC1665']",[u'Vesicles'],[u'Cytosol']
H3BRE0,FBXO22,None,ENSG00000167196,Evidence at protein level,FBXO22,"[u'FBX22', u'FISTC1']",None,None
O15084-1,ANKRD28,None,ENSG00000206560,Evidence at protein level,ANKRD28,"[u'CFAP79', u'FAP79', u'KIAA0379', u'PITK', u'PP6-ARS-A', u'PPP1R65']",None,None
P08910,ABHD2,None,ENSG00000140526,Evidence at protein level,ABHD2,[u'LABH2'],[u'Nucleoplasm'],[u'Cytosol']
F8W8S8,MTMR1,None,ENSG00000063601,Evidence at protein level,MTMR1,[],None,[u'Vesicles']
O60234,GMFG,None,ENSG00000130755,Evidence at protein level,GMFG,[],[u'Nuclear bodies'],"[u'Nucleoplasm', u'Cytosol']"
H0YJH7,TMPO,[u'Cardiomyopathy'],ENSG00000120802,Evidence at protein level,TMPO,"[u'LAP2', u'LEMD4', u'TP']",None,[u'Nuclear membrane']
Q6KC79,NIPBL,"[u'Disease variant', u'Mental retardation']",ENSG00000164190,Evidence at protein level,NIPBL,"[u'DKFZp434L1319', u'FLJ11203', u'FLJ12597', u'FLJ13354', u'FLJ13648', u'IDN3', u'Scc2']","[u'Vesicles', u'Cytosol']",[u'Nucleoplasm']
O75964,ATP5L,None,ENSG00000167283,Evidence at protein level,ATP5MG,"[u'ATP5JG', u'ATP5L']",None,[u'Mitochondria']
P52272,HNRNPM,None,ENSG00000099783,Evidence at protein level,HNRNPM,"[u'CEAR', u'HNRNPM4', u'HNRPM', u'HNRPM4', u'HTGR1', u'NAGR1']",None,[u'Nucleoplasm']
C9JEL3,EIF4E2,None,ENSG00000135930,Evidence at protein level,EIF4E2,"[u'4EHP', u'EIF4EL3', u'IF4e']",[u'Cytosol'],[u'Mitochondria']
Q9NSK0,KLC4,None,ENSG00000137171,Evidence at protein level,KLC4,"[u'bA387M24.3', u'KNSL8']",[u'Cytosol'],[u'Mitochondria']
K7EML4,WDR18,None,ENSG00000065268,Evidence at protein level,WDR18,[u'Ipi3'],None,[u'Nucleoplasm']
Q9P0J0-2,NDUFA13,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000186010,Evidence at protein level,NDUFA13,"[u'B16.6', u'CDA016', u'CGI-39', u'GRIM-19', u'GRIM19']",None,[u'Mitochondria']
Q86YP4,GATAD2A,None,ENSG00000167491,Evidence at protein level,GATAD2A,[u'p66alpha'],None,[u'Nucleoplasm']
Q8TEV9,SMCR8,None,ENSG00000176994,Evidence at protein level,SMCR8,"[u'DENND8A', u'FLJ34716']",None,[u'Nucleoplasm']
D6R9G1,CDK7,[u'Cancer-related genes'],ENSG00000134058,Evidence at protein level,CDK7,"[u'CAK', u'CAK1', u'CDKN7', u'MO15', u'STK1']","[u'Nucleoli fibrillar center', u'Plasma membrane', u'Cytosol']",[u'Nucleoplasm']
H3BSW6,CTU2,[u'Primary microcephaly'],ENSG00000174177,Evidence at protein level,CTU2,"[u'C16orf84', u'NCS2']",None,[u'Mitochondria']
P17030,ZNF25,None,ENSG00000175395,Evidence at protein level,ZNF25,"[u'FLJ31890', u'KOX19', u'Zfp9']",None,"[u'Nucleoplasm', u'Golgi apparatus']"
A8MUM1,TSSC1; EIPR1,None,ENSG00000032389,Evidence at protein level,EIPR1,"[u'EIPR-1', u'TSSC1']",[u'Intermediate filaments'],"[u'Nucleoplasm', u'Nucleoli']"
Q96AX1,VPS33A,"[u'Disease variant', u'Mucopolysaccharidosis']",ENSG00000139719,Evidence at protein level,VPS33A,[],None,[u'Nucleoplasm']
Q9UBN7,HDAC6,[u'FDA approved drug targets'],ENSG00000094631,Evidence at protein level,HDAC6,"[u'FLJ16239', u'HD6', u'JM21', u'KIAA0901', u'PPP1R90']",None,[u'Nucleoplasm']
J3QRS7,PITPNC1,None,ENSG00000154217,Evidence at protein level,PITPNC1,"[u'RDGB-BETA', u'RDGBB', u'RDGBB1']",[u'Nucleoplasm'],[u'Cytosol']
Q9UH92,MLX,None,ENSG00000108788,Evidence at protein level,MLX,"[u'bHLHd13', u'MAD7', u'MXD7', u'TCFL4']","[u'Nuclear membrane', u'Cytosol']",[u'Nucleoplasm']
D3DSM0,ITGB2,[u'Disease variant'],ENSG00000160255,Evidence at protein level,ITGB2,"[u'CD18', u'LFA-1', u'MAC-1', u'MFI7']",[u'Rods & Rings'],[u'Plasma membrane']
Q5VZE5,NAA35,None,ENSG00000135040,Evidence at protein level,NAA35,"[u'bA379P1.1', u'FLJ21613', u'FLJ22643', u'MAK10']",None,"[u'Nucleoplasm', u'Plasma membrane', u'Cytosol']"
Q5TDG9,DNAJC16,None,ENSG00000116138,Evidence at protein level,DNAJC16,[u'KIAA0962'],None,[u'Vesicles']
Q14155,ARHGEF7,None,ENSG00000102606,Evidence at protein level,ARHGEF7,"[u'BETA-PIX', u'COOL1', u'DKFZp686C12170', u'DKFZp761K1021', u'KIAA0142', u'Nbla10314', u'P50', u'P50BP', u'P85', u'P85COOL1', u'P85SPR', u'PAK3', u'PIXB']",None,None
Q96AE4,FUBP1,[u'Cancer-related genes'],ENSG00000162613,Evidence at protein level,FUBP1,"[u'FBP', u'FUBP']",None,[u'Nucleoplasm']
Q5JWR5,DOPEY1,None,ENSG00000083097,Evidence at protein level,DOP1A,"[u'dJ202D23.2', u'DOPEY1', u'KIAA1117']",[u'Vesicles'],[u'Nucleoplasm']
H0YKN5,TGIF2,None,ENSG00000118707,Evidence at protein level,TGIF2,[],[u'Centrosome'],[u'Nucleoplasm']
Q9Y2X9,ZNF281,None,ENSG00000162702,Evidence at protein level,ZNF281,[u'ZBP-99'],None,[u'Nucleoplasm']
H7C352,RASGRP3,None,ENSG00000152689,Evidence at protein level,RASGRP3,"[u'CalDAG-GEFIII', u'GRP3', u'KIAA0846']",[u'Golgi apparatus'],[u'Nucleoplasm']
Q8IVF7,FMNL3,None,ENSG00000161791,Evidence at protein level,FMNL3,"[u'DKFZp762B245', u'MGC45819', u'WBP3']",[u'Cytosol'],"[u'Golgi apparatus', u'Vesicles', u'Plasma membrane']"
E5RH53,FAM82B; RMDN1,None,ENSG00000176623,Evidence at protein level,RMDN1,"[u'CGI-90', u'FAM82B', u'FLJ20665', u'RMD1']",[u'Actin filaments'],[u'Centrosome']
B3KNX7,PAK1,"[u'Disease variant', u'Epilepsy', u'Mental retardation']",ENSG00000149269,Evidence at protein level,PAK1,[],None,"[u'Plasma membrane', u'Cytosol']"
Q9H444,CHMP4B,"[u'Cataract', u'Disease variant']",ENSG00000101421,Evidence at protein level,CHMP4B,"[u'C20orf178', u'dJ553F4.4', u'Shax1', u'SNF7-2', u'VPS32B']",None,None
Q8WVV9,HNRNPLL; HNRPLL,None,ENSG00000143889,Evidence at protein level,HNRNPLL,[u'HNRPLL'],"[u'Mitochondria', u'Cytosol']",[u'Nucleoplasm']
Q3MIX3,ADCK5,None,ENSG00000173137,Evidence at protein level,ADCK5,[u'FLJ35454'],None,"[u'Plasma membrane', u'Cytosol']"
F8WE88,MYO5A,[u'Cancer-related genes'],ENSG00000197535,Evidence at protein level,MYO5A,"[u'GS1', u'MYH12', u'MYO5', u'MYR12']",None,"[u'Focal adhesion sites', u'Centriolar satellite']"
Q5VIR6-4,VPS53,"[u'Disease variant', u'Epilepsy', u'Mental retardation', u'Neurodegeneration']",ENSG00000141252,Evidence at protein level,VPS53,"[u'FLJ10979', u'HCCS1']",[u'Cytosol'],"[u'Golgi apparatus', u'Vesicles']"
Q9BXP5,SRRT,None,ENSG00000087087,Evidence at protein level,SRRT,"[u'ARS2', u'Asr2', u'serrate']",None,[u'Nucleoplasm']
Q53HC0,CCDC92,None,ENSG00000119242,Evidence at protein level,CCDC92,[u'FLJ22471'],[u'Nucleoplasm'],[u'Centrosome']
Q5QPN9,LYPLA2,None,ENSG00000011009,Evidence at protein level,LYPLA2,[u'APT-2'],[u'Nucleoplasm'],[u'Cytosol']
P25054,APC,"[u'Cancer-related genes', u'Disease variant', u'Tumor suppressor']",ENSG00000134982,Evidence at protein level,APC,"[u'DP2', u'DP2.5', u'DP3', u'PPP1R46']","[u'Nucleoplasm', u'Golgi apparatus']",[u'Plasma membrane']
H3BT71,RBMX,"[u'Cancer-related genes', u'Mental retardation', u'Tumor suppressor']",ENSG00000147274,Evidence at protein level,RBMX,"[u'hnRNP-G', u'HNRNPG', u'RNMX']",None,[u'Nucleoplasm']
P06865,HEXA,"[u'Disease variant', u'Gangliosidosis', u'Neurodegeneration']",ENSG00000213614,Evidence at protein level,HEXA,[],[u'Cytosol'],[u'Vesicles']
P39748,FEN1,[u'Cancer-related genes'],ENSG00000168496,Evidence at protein level,FEN1,"[u'FEN-1', u'MF1', u'RAD2']",[u'Nucleoli'],[u'Nucleoplasm']
P34896,SHMT1,None,ENSG00000176974,Evidence at protein level,SHMT1,"[u'CSHMT', u'MGC15229', u'MGC24556', u'SHMT']",[u'Nucleoplasm'],[u'Cytosol']
